seed,radius,trial,success,progress,start_x,end_x
1,0.0,2,1,0.26257757612543675,-0.19936065713844126,0.0632169189869955
1,0.0,3,1,0.26257757612543675,-0.19936065713844126,0.0632169189869955
1,0.0,4,1,0.26257757612543675,-0.19936065713844126,0.0632169189869955
1,0.0,5,1,0.26257757612543675,-0.19936065713844126,0.0632169189869955
1,0.0,6,1,0.26257757612543675,-0.19936065713844126,0.0632169189869955
1,0.0,7,0,0.13853091635263626,-0.19936065713844126,-0.060829740785805005
1,0.0,8,0,0.020348142906143868,-0.19936065713844126,-0.1790125142322974
1,0.0,9,0,0.020348142906143868,-0.19936065713844126,-0.1790125142322974
1,0.25,0,0,0.021517547042467167,-0.19936065713844126,-0.1778431100959741
1,0.25,1,0,0.02125969749298448,-0.19936065713844126,-0.17810095964545677
1,0.25,2,0,0.01859539179284117,-0.19936065713844126,-0.18076526534560008
1,0.25,3,0,0.01980698933471753,-0.19936065713844126,-0.17955366780372373
1,0.25,4,0,0.0223306494114337,-0.19936065713844126,-0.17703000772700755
1,0.25,5,0,0.01937173827551497,-0.19936065713844126,-0.17998891886292628
1,0.25,6,0,0.021669086879346072,-0.19936065713844126,-0.17769157025909518
1,0.25,7,0,0.022773186253513517,-0.19936065713844126,-0.17658747088492774
1,0.25,8,0,0.018415265128996078,-0.19936065713844126,-0.18094539200944518
1,0.25,9,0,0.020595055227996595,-0.19936065713844126,-0.17876560191044466
1,0.5,0,0,0.0226874192165471,-0.19936065713844126,-0.17667323792189416
1,0.5,1,0,0.022162827610291397,-0.19936065713844126,-0.17719782952814986
1,0.5,2,0,0.016842194416565814,-0.19936065713844126,-0.18251846272187544
1,0.5,3,0,0.019288392491718404,-0.19936065713844126,-0.18007226464672285
1,0.5,4,0,0.024302589933818508,-0.19936065713844126,-0.17505806720462275
1,0.5,5,0,0.018386528797656843,-0.19936065713844126,-0.1809741283407844
1,0.5,6,0,0.02299809393270738,-0.19936065713844126,-0.17636256320573387
1,0.5,7,0,0.02518214738805305,-0.19936065713844126,-0.1741785097503882
1,0.5,8,0,0.016522135451203845,-0.19936065713844126,-0.1828385216872374
1,0.5,9,0,0.020854223292450735,-0.19936065713844126,-0.17850643384599052
1,0.75,0,0,0.02385732344400182,-0.19936065713844126,-0.17550333369443943
1,0.75,1,0,0.02306185580156553,-0.19936065713844126,-0.17629880133687573
1,0.75,2,0,0.01508885647819247,-0.19936065713844126,-0.18427180066024879
1,0.75,3,0,0.01880107529237604,-0.19936065713844126,-0.18055958184606521
1,0.75,4,0,0.026266530506801805,-0.19936065713844126,-0.17309412663163945
1,0.75,5,0,0.017400887113726587,-0.19936065713844126,-0.18195977002471467
1,0.75,6,0,0.024334569225915148,-0.19936065713844126,-0.1750260879125261
1,0.75,7,0,0.027581916893603675,-0.19936065713844126,-0.17177874024483758
1,0.75,8,0,0.014679383364504639,-0.19936065713844126,-0.18468127377393662
1,0.75,9,0,0.021137986583549873,-0.19936065713844126,-0.17822267055489138
1,1.0,0,0,0.025026461462504257,-0.19936065713844126,-0.174334195675937
1,1.0,1,0,0.023961565346500235,-0.19936065713844126,-0.17539909179194102
1,1.0,2,0,0.013335650159055162,-0.19936065713844126,-0.1860250069793861
1,1.0,3,0,0.018348141316904376,-0.19936065713844126,-0.18101251582153688
1,1.0,4,0,0.02822501846813366,-0.19936065713844126,-0.1711356386703076
1,1.0,5,0,0.016416334975081326,-0.19936065713844126,-0.18294432216335993
1,1.0,6,0,0.025677839460501145,-0.19936065713844126,-0.1736828176779401
1,1.0,7,0,0.029979833848389453,-0.19936065713844126,-0.1693808232900518
1,1.0,8,0,0.012887432445142233,-0.19936065713844126,-0.18647322469329902
1,1.0,9,0,0.021452102835524955,-0.19936065713844126,-0.1779085543029163
1,1.25,0,0,0.026193759875586198,-0.19936065713844126,-0.17316689726285506
1,1.25,1,0,0.024867209442661797,-0.19936065713844126,-0.17449344769577946
1,1.25,2,0,0.011582815885266773,-0.19936065713844126,-0.18777784125317448
1,1.25,3,0,0.01793108729816703,-0.19936065713844126,-0.18142956984027422
1,1.25,4,0,0.03018044094341854,-0.19936065713844126,-0.16918021619502271
1,1.25,5,0,0.015434450286882256,-0.19936065713844126,-0.183926206851559
