seed,trial,sigma,success,crashed,steps,total_reward,checkpoint_x,checkpoint_y
1,0,0.8,1,0,215,211.97959529723508,-0.10204734802246093,0.28834863662719723
1,1,0.8,1,0,96,184.1289134715266,-0.10204734802246093,0.28834863662719723
1,2,0.8,0,1,13,-27.264534926005297,-0.10204734802246093,0.28834863662719723
1,0,1.0,1,0,236,218.04981295927183,-0.10204734802246093,0.28834863662719723
1,1,1.0,1,0,93,178.59088553956033,-0.10204734802246093,0.28834863662719723
1,2,1.0,0,1,10,-36.81244073220573,-0.10204734802246093,0.28834863662719723
2,0,0.0,1,0,110,180.84956851126023,-0.058287429809570315,0.2946177816390991
2,1,0.0,1,0,110,180.84956851126023,-0.058287429809570315,0.2946177816390991
2,2,0.0,1,0,110,180.84956851126023,-0.058287429809570315,0.2946177816390991
2,0,0.2,1,0,108,189.7416596833065,-0.058287429809570315,0.2946177816390991
2,1,0.2,1,0,122,168.9351898927384,-0.058287429809570315,0.2946177816390991
2,2,0.2,1,0,102,189.92521129801435,-0.058287429809570315,0.2946177816390991
2,0,0.4,1,0,113,198.02115902154952,-0.058287429809570315,0.2946177816390991
2,1,0.4,0,0,260,52.309707190526524,-0.058287429809570315,0.2946177816390991
2,2,0.4,1,0,96,202.69007510504184,-0.058287429809570315,0.2946177816390991
2,0,0.6,1,0,95,205.14725638227503,-0.058287429809570315,0.2946177816390991
2,1,0.6,1,0,99,149.47244159716035,-0.058287429809570315,0.2946177816390991
2,2,0.6,1,0,92,217.91092409105082,-0.058287429809570315,0.2946177816390991
2,0,0.8,0,1,34,-19.673203913100465,-0.058287429809570315,0.2946177816390991
2,1,0.8,0,0,260,82.41869098522444,-0.058287429809570315,0.2946177816390991
2,2,0.8,1,0,102,231.2266713663104,-0.058287429809570315,0.2946177816390991
2,0,1.0,0,1,26,-44.10446146702631,-0.058287429809570315,0.2946177816390991
2,1,1.0,0,1,8,-75.94409961896548,-0.058287429809570315,0.2946177816390991
2,2,1.0,0,1,34,-5.125152828258052,-0.058287429809570315,0.2946177816390991
3,0,0.0,1,0,109,169.08767431397527,-0.0590113639831543,0.2564041709899902
3,1,0.0,1,0,109,169.08767431397527,-0.0590113639831543,0.2564041709899902
3,2,0.0,1,0,109,169.08767431397527,-0.0590113639831543,0.2564041709899902
3,0,0.2,1,0,116,176.35614640419004,-0.0590113639831543,0.2564041709899902
3,1,0.2,1,0,112,167.16390958044667,-0.0590113639831543,0.2564041709899902
3,2,0.2,1,0,111,173.18352046669622,-0.0590113639831543,0.2564041709899902
3,0,0.4,1,0,109,188.6218172157357,-0.0590113639831543,0.2564041709899902
3,1,0.4,1,0,110,168.33357006555082,-0.0590113639831543,0.2564041709899902
3,2,0.4,1,0,132,167.2043694961886,-0.0590113639831543,0.2564041709899902
3,0,0.6,1,0,108,197.71663109281,-0.0590113639831543,0.2564041709899902
3,1,0.6,1,0,116,168.72392546802035,-0.0590113639831543,0.2564041709899902
3,2,0.6,1,0,165,175.80919040814112,-0.0590113639831543,0.2564041709899902
3,0,0.8,1,0,118,207.5631271017219,-0.0590113639831543,0.2564041709899902
3,1,0.8,1,0,113,145.42531743398666,-0.0590113639831543,0.2564041709899902
3,2,0.8,1,0,191,177.91198287846615,-0.0590113639831543,0.2564041709899902
3,0,1.0,1,0,114,217.50445109073382,-0.0590113639831543,0.2564041709899902
3,1,1.0,1,0,113,148.7745112353535,-0.0590113639831543,0.2564041709899902
3,2,1.0,1,0,214,190.76473782324427,-0.0590113639831543,0.2564041709899902
