scenario,seed,attempted_samples,accepted_samples,accepted_fraction,true_valid_accept_rate,invalid_accept_rate,boundary_hit_accept_rate,true_boundary_recall,mean_abs_boundary_error,clean,rauc,median_r80
exact,14,8640,8634,0.9993055555555556,1.0,0.0,0.6835765577947649,1.0,0.06588985258076464,0.8170142872275759,0.21410892988657132,0.13041611111696694
exact,15,8640,8636,0.999537037037037,1.0,0.0,0.6768179712830014,1.0,0.0669764259872223,0.8238754340207478,0.2197813847629386,0.13704386593139428
exact,16,8640,8637,0.9996527777777777,1.0,0.0,0.6748871135811045,1.0,0.06748367345454577,0.8190798872797352,0.21336449976899405,0.129910138894156
exact,17,8640,8638,0.9997685185185186,1.0,0.0,0.6801342903449873,1.0,0.06715380570022077,0.8160675966974161,0.21541872080470195,0.13754493177307092
exact,18,8640,8637,0.9996527777777777,1.0,0.0,0.6818339701285169,1.0,0.06684229565096289,0.8195192385279537,0.2187812181209384,0.1444024263422641
exact,19,8640,8638,0.9997685185185186,1.0,0.0,0.6847649918962723,1.0,0.0661435185792047,0.8169527371895078,0.2137991548351536,0.13737154017836703
exact,20,8640,8638,0.9997685185185186,1.0,0.0,0.6925214169946747,1.0,0.06516754097979216,0.8183114000403162,0.21426813089384752,0.13468771254609535
exact,21,8640,8637,0.9996527777777777,1.0,0.0,0.6894755123306704,1.0,0.06616855979587911,0.8248680256103456,0.21805879172435955,0.13709444924079808
exact,22,8640,8638,0.9997685185185186,1.0,0.0,0.6874276452882612,1.0,0.06632305568508338,0.8177272921887118,0.21357598100919317,0.1348768035120998
exact,23,8640,8638,0.9997685185185186,1.0,0.0,0.6866172725167863,1.0,0.06605243026560026,0.8199544035255238,0.21721459475859564,0.13779220990146052
exact,24,8640,8637,0.9996527777777777,1.0,0.0,0.6831075604955424,1.0,0.06702177235980397,0.8211111756662379,0.217192645957743,0.13651490682107087
exact,25,8640,8637,0.9996527777777777,1.0,0.0,0.6812550654162325,1.0,0.06650638295580526,0.8204684322961331,0.21527572887524576,0.13486219833603005
exact,26,8640,8638,0.9997685185185186,1.0,0.0,0.6794396851122945,1.0,0.06752739161945429,0.8192055442892527,0.21943681431117332,0.13705260212528497
exact,27,8640,8638,0.9997685185185186,1.0,0.0,0.6772401018754342,1.0,0.06647815965794984,0.8214906288820897,0.21727449233917107,0.14044809396912528
exact,28,8640,8637,0.9996527777777777,1.0,0.0,0.670834780595114,1.0,0.06752671469233983,0.8204720186309171,0.21611341661250016,0.1363700129490058
exact,29,8640,8637,0.9996527777777777,1.0,0.0,0.6759291420632164,1.0,0.06683277669097608,0.819180347287645,0.2144761571146144,0.13266611481842638
false_negative_10,0,8640,7787,0.9012731481481482,1.0,0.0,0.6802362912546552,0.9008503401360545,0.06726438070307185,0.8235085987812095,0.2168581466261583,0.13567799205731898
false_negative_10,1,8640,7778,0.9002314814814815,1.0,0.0,0.6878374903574184,0.9009767598518019,0.06525999008887363,0.8166062605043111,0.21138405815493633,0.1303386952916626
false_negative_10,2,8640,7795,0.9021990740740741,1.0,0.0,0.687107119948685,0.9051884400878824,0.06620025421869394,0.8224524960448769,0.21531497892875595,0.1342491309212696
false_negative_10,3,8640,7795,0.9021990740740741,1.0,0.0,0.6650416933932007,0.9051859612362494,0.06827407196862169,0.8251272322151327,0.22092261015031953,0.1393438698305997
false_negative_10,4,8640,7748,0.8967592592592593,1.0,0.0,0.6858544140423335,0.8996106314542068,0.0665737126457876,0.8312112581614072,0.21968505486570208,0.13723275229017307
false_negative_10,5,8640,7739,0.8957175925925925,1.0,0.0,0.6751518284016023,0.8983837689133425,0.06699248145466678,0.8169105601684311,0.217036095829194,0.1402921192522012
false_negative_10,6,8640,7781,0.9005787037037037,1.0,0.0,0.6852589641434262,0.900371496116177,0.06712441309625262,0.8205535056456341,0.2177702847003113,0.14080089122699113
false_negative_10,7,8640,7765,0.8987268518518519,1.0,0.0,0.6687701223438506,0.8961173425366695,0.06658421726686507,0.8198879832128239,0.21326874365587253,0.12995056182418363
false_negative_10,8,8640,7771,0.8994212962962963,1.0,0.0,0.6903873375369965,0.8986599664991625,0.0659346470198227,0.817595282463813,0.21101659439609624,0.1303532716798291
false_negative_10,9,8640,7793,0.9019675925925926,1.0,0.0,0.6960092390606955,0.9017456359102244,0.06564178397541022,0.8159363306386347,0.214767007248224,0.13564801148036426
