stress_case,method,seed,final_clean,final_rauc,final_median_r80,final_transfer_rauc,rauc_aulc,best_rauc
high_clutter,bgr_broad,9,0.8641092588940725,0.49324767648435075,0.5005198314607456,0.31467416575697305,0.38276519171402035,0.49324767648435075
high_clutter,bgr_broad,10,0.8663995478932468,0.4994496736871759,0.5030936955513869,0.3119560816836033,0.3828403958671073,0.4994496736871759
high_clutter,bgr_broad,11,0.857730020745322,0.49236028403965276,0.4864471959238708,0.3104168031337212,0.379601760508652,0.49236028403965276
high_clutter,bgr_broad,12,0.8633196423866369,0.497678828274659,0.49390744052741653,0.31319973002566165,0.38169988704737623,0.497678828274659
high_clutter,bgr_broad,13,0.8650580238144117,0.498151221256181,0.5015902404376961,0.3139674049152156,0.3830196454808973,0.498151221256181
high_clutter,bgr_broad,14,0.8603117060275267,0.49279562326580223,0.5003681559039509,0.31179012005808804,0.37900028235830535,0.49279562326580223
tight_feasible,uniform,0,0.835118011290534,0.3840891901829197,0.3936617708849115,0.2272438484213157,0.32378340701683367,0.3840891901829197
tight_feasible,uniform,1,0.8312484997815623,0.3873611539228268,0.38473440215774585,0.22979157636313027,0.3241372729510261,0.3873611539228268
tight_feasible,uniform,2,0.8392653218381219,0.38666322887791,0.37337536247492115,0.22972488262151894,0.32533961836630876,0.38666322887791
tight_feasible,uniform,3,0.8232005436579908,0.3823611692524925,0.3855720987340375,0.22968334948437363,0.3198305168090481,0.3823611692524925
tight_feasible,uniform,4,0.835480516943319,0.3904095700658406,0.3899703671555757,0.2333788967051927,0.3289525442176365,0.3904095700658406
tight_feasible,uniform,5,0.8314954274147247,0.38823104289038274,0.3922302493676886,0.23533988553430263,0.3265676963927705,0.38823104289038274
tight_feasible,uniform,6,0.8302163266015218,0.38081646800658947,0.3712143550819891,0.23032498076571734,0.32119485023959143,0.38081646800658947
